JUG Saxony;https://jugsaxony.org/jugapp/events.ics
JUG Berlin-Brandenburg;https://www.meetup.com/jug-bb/events/ical/
JUG Görlitz;https://www.google.com/calendar/ical/gtgjid1tkrv0pl7o1hsqr3d8d8%40group.calendar.google.com/public/basic.ics
JUG Rostock;https://www.meetup.com/Java-User-Group-Rostock-JUGRO/events/ical/
JUG Hamburg;https://www.meetup.com/jug-hamburg/events/ical/
JUG Bremen;https://www.meetup.com/jugbremen/events/ical/
JUG Hannover;https://www.meetup.com/Java-User-Group-Hannover/events/ical/
JUG Göttingen;http://www.epoko.net/webfile/dav/88d37c0a58c8e28abcb990377e3da3bd/JUG-Deutschland-Goettingen/public.ics
JUG Ostfalen-BS-WOB;http://www.jug-ostfalen.de/events.ics
JUG Bielefeld;https://www.meetup.com/Java-User-Group-Bielefeld/events/ical/
JUG Paderborn;https://calendar.google.com/calendar/ical/u17n4jh1q5gk920j7m4dera66s%40group.calendar.google.com/public/basic.ics
JUG Dortmund;https://www.meetup.com/JUG-Dortmund/events/ical/
JUG Essen;https://www.meetup.com/JUG-Essen/events/ical/
JUG Hessen-Kassel;https://www.meetup.com/Java-User-Group-Hessen-JUGH/events/ical/
JUG Thüringen;https://www.meetup.com/jugthde/events/ical/
JUG Münster;https://www.google.com/calendar/ical/Gerrit.Grunwald%40jug-muenster.de/public/basic.ics
rheinjug Düsseldorf;https://www.meetup.com/rheinJUG/events/ical/
JUG Köln;http://www.java.de/cal/jug-koeln.ics
JUG Bonn;https://www.meetup.com/JUG-Bonn/events/ical/
EuregJUG Maas-Rhine;http://www.euregjug.eu/events.ics
JUG Frankfurt;https://www.google.com/calendar/ical/ph4apb66ubb1gdt40rrnijaec8%40group.calendar.google.com/public/basic.ics
JUG Mainz;https://www.meetup.com/JUG-Mainz/events/ical/
JUG Darmstadt;http://www.jug-da.de/events.ics
JUG Kaiserslautern;http://www.java.de/cal/jug-kaiserslautern.ics
JUG Saarland;https://www.meetup.com/Java-User-Group-Saarland-jugsaar/events/ical/
JUG Mannheim;http://www.majug.de/events.ics
JUG Stuttgart;http://www.google.com/calendar/ical/niele%40jugs.org/public/basic.ics
JUG Goldstadt-Pforzheim;http://jugpf.gitlab.io/gitlab-pages/calendar.ics
JUG Karlsruhe;https://www.meetup.com/Java-User-Group-Karlsruhe/events/ical/
JUG Freiburg;https://www.meetup.com/Java-User-Group-Freiburg/events/ical/
JUG Augsburg;http://www.java.de/cal/jug-augsburg.ics
JUG Bodensee;https://www.meetup.com/JUG-Bodensee/events/ical/
JUG München;http://www.java.de/cal/jug-muenchen.ics
LJUG München;https://www.meetup.com/Lightweight-Java-User-Group-Munchen/events/ical/
JUG Nürnberg;https://www.meetup.com/JUG-Nurnberg/events/ical/
DOAG e.V.;https://mydoag.doag.org/termine/calendar.ics
iJUG e.V.;http://www.google.com/calendar/ical/diuk2r5n7jsepoa428p0j1ngu8%40group.calendar.google.com/private-b18011916ede7f41297816cc6cd8842e/basic.ics
Konferenzen;http://www.epoko.net/webfile/dav/305f0209d73e1c5c6c91c61bee39daaa/jug/public.ics
JSUG Austria;https://www.meetup.com/Java-Vienna/events/ical/
JUG Switzerland;http://www.java.de/cal/jug-switzerland.ics
